ADM_RATE,AGE_ENTRY,AVGFACSAL,CITY,CONTROL,COSTT4_A,ENDOWBEGIN,FEMALE,FIRST_GEN,GRAD_DEBT_MDN,HBCU,HSI,ICLEVEL,INSTNM,INSTURL,MD_EARN_WNE_P10,NANTI,OPEID,PCIP13,PCIP14,PCIP27,PCIP52,PCT_ASIAN,PCT_BLACK,PCT_HISPANIC,PCT_WHITE,PCTPELL,PFTFAC,PREDDEG,RELAFFIL,SAT_AVG,SCH_DEG,STABBR,UGDS,UGDS_MEN,UGDS_WOMEN,UGDS_2MOR,UGDS_AIAN,UGDS_ASIAN,UGDS_BLACK,UGDS_HISP,UGDS_NHPI,UGDS_NRA,UGDS_UNKN,UGDS_WHITE,LATITUDE,LONGITUDE,date
0.6702,23.665278191,11583,Jamaica,1,13567,2079196,0.6926509967,0.4959183673,11000,0,1,1,CUNY York College,www.york.cuny.edu/,52325,0,00475900,0.0211,0,0.0105,0.192,8.71000003814697,46.7700004577636,23.0499992370605,25.8199996948242,0.4386,0.3357,3,NULL,NULL,3,NY,5595,0.3312,0.6688,0.0343,0.0147,0.2123,0.3737,0.2738,0.0043,0.0393,0,0.0475,40.701576,-73.796313,2024-06-13
0.9245,23.381944444,6970,Buffalo,2,37215,50084479,0.7523148148,0.2708860759,25000,0,0,1,D'Youville  University,www.dyc.edu/,61994,0,00271200,0,0,0.0027,0.061,1.61000001430511,15.9700002670288,5.15000009536743,77.6100006103515,0.3153,0.5581,3,NULL,1135,3,NY,1388,0.2522,0.7478,0.0317,0.0058,0.0843,0.1232,0.0548,0.0007,0.0339,0.0663,0.5994,42.902636,-78.890868,2024-06-13
0.7844,23.317213115,7061,Amherst,2,41533,21108763,0.7262295082,0.2884097035,22091,0,0,1,Daemen University,www.daemen.edu/,56958,0,00280800,0.0355,0,0,0.2129,1.44000005722045,12.7299995422363,3.92000007629394,82.0800018310547,0.3758,0.488,3,NULL,NULL,3,NY,1721,0.2667,0.7333,0.0192,0.0046,0.0389,0.0994,0.0593,0,0.011,0.0174,0.7501,42.965605,-78.788111,2024-06-13
0.756,21.852620087,8500,Orangeburg,2,42823,7224291,0.6855895197,0.3212951432,25000,0,1,1,Dominican University New York,www.duny.edu/,60238,0,00271300,0.0193,0,0.0055,0.0967,4.84999990463256,15.8900003433227,16.9799995422363,68.1699981689453,0.4817,0.3602,3,NULL,1058,3,NY,1131,0.3378,0.6622,0.0195,0,0.0637,0.1556,0.3811,0.0035,0.0345,0.0946,0.2476,41.047419,-73.950555,2024-06-13
NULL,21.910521141,8258,Poughkeepsie,1,14407,11842694,0.5621107833,0.4246416118,10039,0,0,2,Dutchess Community College,www.sunydutchess.edu/,42309,0,00286400,0,0.0181,0,0.1295,2.45000004768371,10.289999961853,7.69000005722046,81.8499984741211,0.1962,0.3447,2,NULL,NULL,2,NY,3988,0.4491,0.5509,0.0444,0.0023,0.0261,0.1419,0.25,0.0008,0.0073,0.0356,0.4917,41.724245,-73.904652,2024-06-13
0.25,30.672727273,7143,Schenectady,2,NULL,168180,0.8727272727,0.4897959184,PrivacySuppressed,0,0,2,Belanger School of Nursing,https://www.ellismedicine.org/school-of-nursing/academics-introduction.aspx,69398,0,00644800,0,0,0,0,1.47000002861022,3.70000004768371,3.84999990463256,91.5500030517578,0.2448,0.5909,2,NULL,NULL,2,NY,141,0.0709,0.9291,0.0071,0.0071,0.0922,0.0922,0.0142,0,0,0.0071,0.7801,42.802979,-73.915884,2024-06-13
0.9378,21.243027888,5365,Elmira,2,49254,31036852,0.7111553785,0.2683982684,27000,0,0,1,Elmira College,https://www.elmira.edu/,53558,0,00271800,0.1204,0,0.0105,0.1361,1.48000001907348,3.25,2.47000002861022,92.8099975585937,0.3245,0.5897,3,NULL,NULL,3,NY,632,0.307,0.693,0.0332,0.0032,0.019,0.0491,0.0585,0.0016,0.0538,0.0316,0.75,42.0961,-76.813459,2024-06-13
NULL,23.625948833,5734,Buffalo,1,11426,3783527,0.51068316,0.3842961487,9250,0,0,2,Erie Community College,www.ecc.edu/,39305,0,01068400,0.011,0.0081,0.0029,0.1135,1.30999994277954,16.1499996185302,4.40999984741211,78.25,0.3661,0.3422,2,NULL,NULL,2,NY,6368,0.4719,0.5281,0.0371,0.0083,0.0609,0.1632,0.074,0,0.0082,0.0806,0.5678,42.881771,-78.872679,2024-06-13
0.5168,21.291810842,9185,New York,1,17027,41868662,0.8392925798,0.2760084926,12000,0,0,1,Fashion Institute of Technology,www.fitnyc.edu/,59652,0,00286600,0,0,0,0.3678,6.76000022888183,13.4200000762939,14.6700000762939,69.9700012207031,0.3135,1,2,NULL,NULL,2,NY,7660,0.1668,0.8332,0.0452,0.0013,0.1289,0.0837,0.2256,0.0018,0.1057,0.0044,0.4034,40.74731,-73.994781,2024-06-13
NULL,23.383556682,6829,Canandaigua,1,16712,1830279,0.5530604853,0.3794642857,12975,0,0,2,Finger Lakes Community College,www.flcc.edu/,37712,0,00753200,0.031,0.0163,0.0033,0.1387,0.75,3.78999996185302,2.40000009536743,93.0100021362304,0.2828,1,2,NULL,NULL,2,NY,2975,0.4161,0.5839,0.0229,0.002,0.0168,0.0867,0.0941,0,0,0.0282,0.7492,42.867556,-77.241801,2024-06-13
0.583,20.350413223,14594,Bronx,2,70340,712775000,0.6138842975,0.1764084507,24300,0,0,1,Fordham University,www.fordham.edu/,78820,0,00272200,0,0.0088,0.0261,0.315,5.65999984741211,12.3800001144409,15.619999885559,71.5500030517578,0.1921,1,3,30,1402,3,NY,9669,0.4105,0.5895,0.0472,0.0005,0.1291,0.0512,0.1732,0.0008,0.0652,0.0073,0.5255,40.859354,-73.882705,2024-06-13
NULL,22.760305344,8775,Johnstown,1,14231,3906390,0.5618320611,0.4922656961,12125,0,0,2,Fulton-Montgomery Community College,www.fmcc.edu/,40281,0,00286700,0,0,0,0.1233,0.97000002861022,5.61999988555908,6.15000009536743,89.3199996948242,0.3165,0.4872,2,NULL,NULL,2,NY,995,0.4281,0.5719,0.0422,0.001,0.0121,0.0422,0.1307,0.001,0.0422,0.0653,0.6633,42.983805,-74.297492,2024-06-13
NULL,24.207373272,6716,Batavia,1,13930,6053871,0.6532258065,0.4453818828,11622,0,0,2,Genesee Community College,www.genesee.edu/,35607,0,00678200,0.0316,0.0047,0,0.1564,0.62999999523162,6.40000009536743,3.15000009536743,89.7200012207031,0.268,0.3925,2,NULL,NULL,2,NY,2192,0.3453,0.6547,0.0392,0.0064,0.0114,0.115,0.0652,0.0005,0.0525,0.0091,0.7007,43.016584,-78.137586,2024-06-13
0.1407,19.348519362,11355,Clinton,2,74670,1020321000,0.5421412301,0.1328502415,17000,0,0,1,Hamilton College,https://www.hamilton.edu/,77214,0,00272800,0,0,0.0507,0,4.30000019073486,8.1899995803833,7.76000022888183,81.5899963378906,0.1814,0.8219,3,NULL,1492,3,NY,2049,0.4597,0.5403,0.0542,0.0005,0.0825,0.0312,0.0996,0,0.0673,0.0181,0.6467,43.050245,-75.408195,2024-06-13
0.9561,19.592,7873,Oneonta,2,59521,69576602,0.5712,0.2708688245,27000,0,0,1,Hartwick College,www.hartwick.edu/,52097,0,00272900,0.0269,0,0,0.1452,2.42000007629394,6.98999977111816,6.19999980926513,85.7799987792968,0.3735,0.609,3,NULL,1147,3,NY,1159,0.4202,0.5798,0.0319,0.0026,0.025,0.1139,0.0802,0.0009,0.0242,0.1251,0.5962,42.457599,-75.071994,2024-06-13
